General Offense Number,Longitude,Latitude,Event Clearance Code,Event Clearance Group,Census Tract,Incident Location,Zone/Beat
2010246327,-122.326892912,47.526477211,040,ASSAULTS,11200.1006,"(47.526477211, -122.326892912)",F3
2010246521,-122.320726224,47.661562506,040,ASSAULTS,5200.5004,"(47.661562506, -122.320726224)",U2
2010246661,-122.367394667,47.667168551,040,ASSAULTS,4800.4005,"(47.667168551, -122.367394667)",J2
2010246891,-122.357763435,47.527388766,040,ASSAULTS,11400.2017,"(47.527388766, -122.357763435)",F2
2010246814,-122.378891817,47.664177331,040,ASSAULTS,4700.4021,"(47.664177331, -122.378891817)",J2
2010246829,-122.316201377,47.615268401,040,ASSAULTS,7500.4013,"(47.615268401, -122.316201377)",C2
2010247015,-122.273537907,47.523310098,040,ASSAULTS,11800.4002,"(47.523310098, -122.273537907)",S2
2010247055,-122.391069528,47.634672761,040,ASSAULTS,5600.8018,"(47.634672761, -122.391069528)",Q1
2010247070,-122.347001982,47.660979279,040,ASSAULTS,5000.3009,"(47.660979279, -122.347001982)",J3
2010246933,-122.270132873,47.50658705,040,ASSAULTS,11900.5004,"(47.50658705, -122.270132873)",S3
2010247330,-122.337439984,47.608524196,040,ASSAULTS,8100.2010,"(47.608524196, -122.337439984)",K1
2010247532,-122.354142695,47.619180298,040,ASSAULTS,7100.2017,"(47.619180298, -122.354142695)",D1
2010247371,-122.282033476,47.531537725,040,ASSAULTS,11000.2009,"(47.531537725, -122.282033476)",S2
2010247698,-122.331124149,47.601717571,040,ASSAULTS,8100.2042,"(47.601717571, -122.331124149)",K2
2010247715,-122.347534379,47.616911063,040,ASSAULTS,7200.2014,"(47.616911063, -122.347534379)",M1
2010166367,-122.314168862,47.667499673,040,ASSAULTS,4400.4001,"(47.667499673, -122.314168862)",U3
2010248340,-122.321145566,47.606647066,040,ASSAULTS,8500.2008,"(47.606647066, -122.321145566)",E3
2010248447,-122.385221291,47.654774973,040,ASSAULTS,5801.3000,"(47.654774973, -122.385221291)",Q1
2010248460,-122.352759418,47.53274516,040,ASSAULTS,11300.5003,"(47.53274516, -122.352759418)",F3
2010248799,-122.335878956,47.606818042,040,ASSAULTS,8100.2015,"(47.606818042, -122.335878956)",K1
2010248828,-122.347730015,47.728224593,040,ASSAULTS,401.1013,"(47.728224593, -122.347730015)",N1
2010249002,-122.333211286,47.602016055,040,ASSAULTS,8100.1054,"(47.602016055, -122.333211286)",K3
2010248881,-122.331124149,47.601717571,040,ASSAULTS,8100.2035,"(47.601717571, -122.331124149)",K2
2010248832,-122.362353715,47.553718333,040,ASSAULTS,10800.3010,"(47.553718333, -122.362353715)",F1
2010249540,-122.314849129,47.526877095,040,ASSAULTS,11200.3002,"(47.526877095, -122.314849129)",F3
2010249427,-122.320751346,47.606843704,040,ASSAULTS,8600.2004,"(47.606843704, -122.320751346)",E3
2010249341,-122.31489548,47.615277436,040,ASSAULTS,7500.2007,"(47.615277436, -122.31489548)",C2
2010249335,-122.34777183,47.731676965,040,ASSAULTS,401.1006,"(47.731676965, -122.34777183)",N1
2010249560,-122.331082201,47.602412413,040,ASSAULTS,8100.2036,"(47.602412413, -122.331082201)",K2
2010249679,-122.386583566,47.580252743,040,ASSAULTS,9800.8003,"(47.580252743, -122.386583566)",W1
2010249929,-122.341555945,47.571626803,040,ASSAULTS,9300.3080,"(47.571626803, -122.341555945)",O2
2010249962,-122.337338755,47.60925298,040,ASSAULTS,8100.2010,"(47.60925298, -122.337338755)",K1
2010249750,-122.299888346,47.591221064,040,ASSAULTS,9500.6006,"(47.591221064, -122.299888346)",G2
2010249954,-122.330510335,47.601885903,040,ASSAULTS,8100.2041,"(47.601885903, -122.330510335)",K2
2010250195,-122.343500195,47.632858771,040,ASSAULTS,6700.1007,"(47.632858771, -122.343500195)",D1
2010250082,-122.342626849,47.651620019,040,ASSAULTS,5400.4010,"(47.651620019, -122.342626849)",J3
2010250355,-122.388695082,47.672375662,040,ASSAULTS,3200.2007,"(47.672375662, -122.388695082)",B2
2010250527,-122.376190342,47.563055862,040,ASSAULTS,10500.1000,"(47.563055862, -122.376190342)",W2
2010250461,-122.367511968,47.661830313,040,ASSAULTS,4700.2025,"(47.661830313, -122.367511968)",J2
2010250599,-122.340367253,47.610046277,040,ASSAULTS,8100.1006,"(47.610046277, -122.340367253)",M3
2010250689,-122.345223492,47.614372206,040,ASSAULTS,7200.2022,"(47.614372206, -122.345223492)",M2
2010250986,-122.347622706,47.6183435,040,ASSAULTS,7200.2006,"(47.6183435, -122.347622706)",M1
