General Offense Number,Longitude,Latitude,Event Clearance Code,Event Clearance Group,Census Tract,Incident Location,Zone/Beat
2010247058,-122.273987704,47.535918807,071,AUTO THEFTS,11101.3000,"(47.535918807, -122.273987704)",S2
2010246312,-122.303415679,47.643159462,071,AUTO THEFTS,6200.1013,"(47.643159462, -122.303415679)",C3
2010247216,-122.302231473,47.598579339,071,AUTO THEFTS,9000.1006,"(47.598579339, -122.302231473)",G2
2010238995,-122.30949685,47.615862548,071,AUTO THEFTS,7900.4000,"(47.615862548, -122.30949685)",G1
2010248117,-122.353933392,47.630997711,071,AUTO THEFTS,7000.1002,"(47.630997711, -122.353933392)",Q3
2010244233,-122.275844233,47.525186062,071,AUTO THEFTS,11800.4000,"(47.525186062, -122.275844233)",S2
2010247859,-122.282237113,47.526106538,071,AUTO THEFTS,11700.1008,"(47.526106538, -122.282237113)",O3
2010248224,-122.298568221,47.619550404,071,AUTO THEFTS,7700.4002,"(47.619550404, -122.298568221)",C3
2010248328,-122.344520045,47.690199289,071,AUTO THEFTS,2800.1000,"(47.690199289, -122.344520045)",J1
2010247297,-122.36556619,47.627478565,071,AUTO THEFTS,6900.3019,"(47.627478565, -122.36556619)",Q3
2010248751,-122.325466587,47.673985901,071,AUTO THEFTS,3600.3017,"(47.673985901, -122.325466587)",J1
2010248432,-122.313028641,47.670214313,071,AUTO THEFTS,4400.5002,"(47.670214313, -122.313028641)",U3
2010233710,-122.264763994,47.50834914,071,AUTO THEFTS,11900.5003,"(47.50834914, -122.264763994)",S3
2010249190,-122.347730015,47.728224593,071,AUTO THEFTS,401.1014,"(47.728224593, -122.347730015)",N1
2010249321,-122.324684075,47.636306294,071,AUTO THEFTS,6600.3011,"(47.636306294, -122.324684075)",D2
2010245925,-122.279001568,47.640708674,071,AUTO THEFTS,6300.1002,"(47.640708674, -122.279001568)",C3
2010249043,-122.325454737,47.674753382,071,AUTO THEFTS,3600.3009,"(47.674753382, -122.325454737)",J1
2010249396,-122.333907212,47.648607497,071,AUTO THEFTS,5400.2019,"(47.648607497, -122.333907212)",J3
2010249821,-122.383397407,47.593503,071,AUTO THEFTS,9600.5002,"(47.593503, -122.383397407)",W1
2010246869,-122.323751903,47.598769218,071,AUTO THEFTS,9100.2002,"(47.598769218, -122.323751903)",K2
2010244266,-122.38416281,47.560205048,071,AUTO THEFTS,10500.6007,"(47.560205048, -122.38416281)",W2
2010250190,-122.271275489,47.5497131,071,AUTO THEFTS,10200.3008,"(47.5497131, -122.271275489)",R3
2010249900,-122.344630886,47.631408971,071,AUTO THEFTS,6700.4002,"(47.631408971, -122.344630886)",D1
2010250042,-122.354022508,47.69692944,071,AUTO THEFTS,1700.2003,"(47.69692944, -122.354022508)",N2
2010249641,-122.327616015,47.553388536,071,AUTO THEFTS,10900.2042,"(47.553388536, -122.327616015)",O2
2010250475,-122.329048256,47.588782553,071,AUTO THEFTS,9300.2027,"(47.588782553, -122.329048256)",K3
2010249342,-122.37489672,47.651256443,071,AUTO THEFTS,5801.4039,"(47.651256443, -122.37489672)",Q2
2010250553,-122.325060336,47.597932435,071,AUTO THEFTS,9100.2006,"(47.597932435, -122.325060336)",K2
2010250721,-122.271782698,47.530341396,071,AUTO THEFTS,11800.6009,"(47.530341396, -122.271782698)",S2
2010248681,-122.363818205,47.535520311,071,AUTO THEFTS,10700.2000,"(47.535520311, -122.363818205)",F1
2010247537,-122.292528006,47.541915749,071,AUTO THEFTS,11000.1006,"(47.541915749, -122.292528006)",S1
2010250886,-122.403988428,47.580636283,071,AUTO THEFTS,9701.1000,"(47.580636283, -122.403988428)",W1
2010251047,-122.342821736,47.610018897,071,AUTO THEFTS,8002.1008,"(47.610018897, -122.342821736)",M3
2010203520,-122.356889954,47.661490724,071,AUTO THEFTS,4800.2001,"(47.661490724, -122.356889954)",J2
2010251163,-122.334191719,47.597380191,071,AUTO THEFTS,9300.2018,"(47.597380191, -122.334191719)",K3
2010250820,-122.34777183,47.731676965,071,AUTO THEFTS,401.1006,"(47.731676965, -122.34777183)",N1
2010248364,-122.347001982,47.660979279,071,AUTO THEFTS,5000.3009,"(47.660979279, -122.347001982)",J3
2010251624,-122.393085724,47.539045963,071,AUTO THEFTS,11600.6003,"(47.539045963, -122.393085724)",W3
2010251661,-122.357060472,47.731456615,071,AUTO THEFTS,401.2004,"(47.731456615, -122.357060472)",B1
2010242166,-122.350992886,47.723222847,071,AUTO THEFTS,402.1000,"(47.723222847, -122.350992886)",B1
2010252049,-122.345950536,47.632725398,071,AUTO THEFTS,6700.3025,"(47.632725398, -122.345950536)",D1
201628168,-122.282745,47.659847,071,AUTO THEFTS,4100.5002,"(47.659847, -122.282745)",U3
2010249674,-122.320693637,47.666309734,071,AUTO THEFTS,4500.1014,"(47.666309734, -122.320693637)",U2
2010252083,-122.283721134,47.522461833,071,AUTO THEFTS,11700.3011,"(47.522461833, -122.283721134)",O3
2010252137,-122.316020529,47.564407494,071,AUTO THEFTS,10000.3012,"(47.564407494, -122.316020529)",R2
201624090,-122.32271,47.62512,071,AUTO THEFTS,7401.2001,"(47.62512, -122.32271)",E1
2010252302,-122.394112811,47.5803019,071,AUTO THEFTS,9702.1004,"(47.5803019, -122.394112811)",W1
2010252379,-122.364364871,47.565631771,071,AUTO THEFTS,9900.2012,"(47.565631771, -122.364364871)",W1
2010179156,-122.319551322,47.663573982,071,AUTO THEFTS,5200.5002,"(47.663573982, -122.319551322)",U2
2010252146,-122.310658794,47.615378307,071,AUTO THEFTS,7900.4005,"(47.615378307, -122.310658794)",G1
201628156,-122.319885,47.650032,071,AUTO THEFTS,6100.1011,"(47.650032, -122.319885)",C1
2010253337,-122.350035818,47.613699092,071,AUTO THEFTS,8002.2006,"(47.613699092, -122.350035818)",M1
2010241656,-122.310138649,47.618062222,071,AUTO THEFTS,7900.5003,"(47.618062222, -122.310138649)",C2
2010253535,-122.323083803,47.621529834,071,AUTO THEFTS,7400.2004,"(47.621529834, -122.323083803)",E1
2010253463,-122.307642254,47.605242989,071,AUTO THEFTS,8700.2003,"(47.605242989, -122.307642254)",G1
2010159123,-122.30544781,47.663995408,071,AUTO THEFTS,4300.4009,"(47.663995408, -122.30544781)",U2
2010253507,-122.282717488,47.630361275,071,AUTO THEFTS,6300.3005,"(47.630361275, -122.282717488)",C3
2010239421,-122.323965171,47.648099405,071,AUTO THEFTS,6100.5004,"(47.648099405, -122.323965171)",C1
2010253393,-122.317207596,47.599601727,071,AUTO THEFTS,9100.1002,"(47.599601727, -122.317207596)",E3
2010253857,-122.267523831,47.503139197,071,AUTO THEFTS,11900.5008,"(47.503139197, -122.267523831)",S3
2010234520,-122.334198304,47.585041313,071,AUTO THEFTS,9300.3015,"(47.585041313, -122.334198304)",O2
201628241,-122.336044,47.555744,071,AUTO THEFTS,10900.2012,"(47.555744, -122.336044)",O2
2010254554,-122.320915219,47.622558497,071,AUTO THEFTS,7400.2000,"(47.622558497, -122.320915219)",E1
2010254742,-122.346722395,47.612326001,071,AUTO THEFTS,8002.2001,"(47.612326001, -122.346722395)",M1
2010254287,-122.356116765,47.658629931,071,AUTO THEFTS,4800.2013,"(47.658629931, -122.356116765)",J2
2010254884,-122.290974913,47.662531365,071,AUTO THEFTS,4200.3008,"(47.662531365, -122.290974913)",L3
2010254926,-122.264493912,47.682926756,071,AUTO THEFTS,4000.1013,"(47.682926756, -122.264493912)",L3
201628207,-122.3493,47.663586,071,AUTO THEFTS,4900.1014,"(47.663586, -122.3493)",B2
2010231798,-122.398382076,47.679090438,071,AUTO THEFTS,3200.7001,"(47.679090438, -122.398382076)",B2
2010255066,-122.320841551,47.658490918,071,AUTO THEFTS,5200.1002,"(47.658490918, -122.320841551)",U2
2010254920,-122.36149441,47.676885171,071,AUTO THEFTS,3400.4011,"(47.676885171, -122.36149441)",B3
2010255475,-122.336255182,47.592395763,071,AUTO THEFTS,9300.2012,"(47.592395763, -122.336255182)",K3
2010255392,-122.342880738,47.51820231,071,AUTO THEFTS,11300.1020,"(47.51820231, -122.342880738)",F3
2010255401,-122.342880738,47.51820231,071,AUTO THEFTS,11300.1020,"(47.51820231, -122.342880738)",F3
2010255545,-122.325963434,47.680506461,071,AUTO THEFTS,4600.1000,"(47.680506461, -122.325963434)",J1
2010256123,-122.322411064,47.637143582,071,AUTO THEFTS,6600.1002,"(47.637143582, -122.322411064)",C1
2010254110,-122.307509089,47.690774469,071,AUTO THEFTS,2100.3015,"(47.690774469, -122.307509089)",U1
2010256305,-122.295817531,47.543532948,071,AUTO THEFTS,11000.5003,"(47.543532948, -122.295817531)",S1
2010256266,-122.325116047,47.660777364,071,AUTO THEFTS,5200.4013,"(47.660777364, -122.325116047)",J3
2010256458,-122.369874193,47.690638907,071,AUTO THEFTS,1700.4007,"(47.690638907, -122.369874193)",B1
2010257373,-122.290798046,47.72094623,071,AUTO THEFTS,700.1000,"(47.72094623, -122.290798046)",L2
2010226431,-122.322973021,47.675876949,071,AUTO THEFTS,3600.4016,"(47.675876949, -122.322973021)",J1
2010257467,-122.362259426,47.640820574,071,AUTO THEFTS,5900.6012,"(47.640820574, -122.362259426)",Q2
2010257484,-122.290291494,47.59518644,071,AUTO THEFTS,8900.1014,"(47.59518644, -122.290291494)",G3
2010257432,-122.346954703,47.610378237,071,AUTO THEFTS,8002.2012,"(47.610378237, -122.346954703)",M3
2010257403,-122.364520149,47.676881385,071,AUTO THEFTS,3400.4007,"(47.676881385, -122.364520149)",B3
2010257409,-122.268352107,47.501426927,071,AUTO THEFTS,11900.4002,"(47.501426927, -122.268352107)",S3
2010257479,-122.360464806,47.527386039,071,AUTO THEFTS,11400.2005,"(47.527386039, -122.360464806)",F2
2010244415,-122.308703081,47.622658231,071,AUTO THEFTS,7600.2001,"(47.622658231, -122.308703081)",C1
2010247277,-122.350563903,47.525585988,071,AUTO THEFTS,11300.4003,"(47.525585988, -122.350563903)",F3
2010253809,-122.32657554,47.620224479,071,AUTO THEFTS,7400.5004,"(47.620224479, -122.32657554)",E1
2010257666,-122.324495885,47.617046946,071,AUTO THEFTS,7400.4003,"(47.617046946, -122.324495885)",E1
2010257946,-122.320331968,47.599187332,071,AUTO THEFTS,9100.1002,"(47.599187332, -122.320331968)",E3
2010257986,-122.351082919,47.616077724,071,AUTO THEFTS,8001.1006,"(47.616077724, -122.351082919)",M1
2010257836,-122.354133146,47.620347315,071,AUTO THEFTS,7100.2001,"(47.620347315, -122.354133146)",Q3
2010258049,-122.356071911,47.651770738,071,AUTO THEFTS,4800.3044,"(47.651770738, -122.356071911)",J2
2010258792,-122.282853885,47.53618784,071,AUTO THEFTS,11000.2005,"(47.53618784, -122.282853885)",S2
2010258846,-122.343585224,47.637542909,071,AUTO THEFTS,6700.1005,"(47.637542909, -122.343585224)",D1
2010258863,-122.295920575,47.66851954,071,AUTO THEFTS,4300.2000,"(47.66851954, -122.295920575)",U2
2010258854,-122.391506659,47.670920502,071,AUTO THEFTS,3200.3001,"(47.670920502, -122.391506659)",B2
2010244948,-122.311462743,47.61457698,071,AUTO THEFTS,7900.4005,"(47.61457698, -122.311462743)",G1
2010258898,-122.323508355,47.607554092,071,AUTO THEFTS,8500.2005,"(47.607554092, -122.323508355)",E2
2010260891,-122.321893969,47.655054615,071,AUTO THEFTS,5200.2010,"(47.655054615, -122.321893969)",U2
2010263182,-122.395669945,47.647733725,071,AUTO THEFTS,5700.2021,"(47.647733725, -122.395669945)",Q1
2010261414,-122.348036115,47.532610675,071,AUTO THEFTS,11300.5008,"(47.532610675, -122.348036115)",F3
2010261496,-122.284844421,47.520562008,071,AUTO THEFTS,11700.2008,"(47.520562008, -122.284844421)",O3
2010260958,-122.302433686,47.603087681,071,AUTO THEFTS,8800.4011,"(47.603087681, -122.302433686)",G3
2010259441,-122.29054411,47.697045012,071,AUTO THEFTS,2100.1005,"(47.697045012, -122.29054411)",L3
2010260608,-122.2856856,47.55906498,071,AUTO THEFTS,10300.5003,"(47.55906498, -122.2856856)",R3
2010260466,-122.32905709,47.578767763,071,AUTO THEFTS,9300.3032,"(47.578767763, -122.32905709)",O2
2010260115,-122.373572331,47.675614309,071,AUTO THEFTS,3300.2002,"(47.675614309, -122.373572331)",B3
2010260327,-122.318242983,47.620510975,071,AUTO THEFTS,7500.5002,"(47.620510975, -122.318242983)",C2
2010260878,-122.381585632,47.675987158,071,AUTO THEFTS,3300.3003,"(47.675987158, -122.381585632)",B2
2010261725,-122.334825702,47.600045227,071,AUTO THEFTS,9200.2012,"(47.600045227, -122.334825702)",K3
2010261065,-122.271275489,47.5497131,071,AUTO THEFTS,10200.3008,"(47.5497131, -122.271275489)",R3
2010261916,-122.345085292,47.733063458,071,AUTO THEFTS,401.1000,"(47.733063458, -122.345085292)",N1
