General Offense Number,Longitude,Latitude,Event Clearance Code,Event Clearance Group,Census Tract,Incident Location,Zone/Beat
2010246491,-122.33137903,47.659702359,050,BURGLARY,5100.2003,"(47.659702359, -122.33137903)",J3
2010246827,-122.404581956,47.581545147,050,BURGLARY,9701.1001,"(47.581545147, -122.404581956)",W1
2010247455,-122.290313203,47.5470353,050,BURGLARY,10400.2010,"(47.5470353, -122.290313203)",S1
2010246362,-122.270515711,47.518268094,050,BURGLARY,11800.4010,"(47.518268094, -122.270515711)",S2
2010247607,-122.333003312,47.623692344,050,BURGLARY,7300.1007,"(47.623692344, -122.333003312)",D2
2010247813,-122.336165513,47.616053297,050,BURGLARY,7300.3022,"(47.616053297, -122.336165513)",D2
2010247985,-122.363648538,47.724181813,050,BURGLARY,500.2001,"(47.724181813, -122.363648538)",B1
2010247950,-122.323016077,47.611212499,050,BURGLARY,8400.2004,"(47.611212499, -122.323016077)",E2
2010248205,-122.276207338,47.691816481,050,BURGLARY,2200.3002,"(47.691816481, -122.276207338)",L3
2010248253,-122.35959588,47.541020772,050,BURGLARY,10800.2009,"(47.541020772, -122.35959588)",F1
2010248571,-122.300533339,47.601663966,050,BURGLARY,8800.4013,"(47.601663966, -122.300533339)",G3
2010248652,-122.318878582,47.685299336,050,BURGLARY,2700.2016,"(47.685299336, -122.318878582)",U1
2010248766,-122.318269293,47.659457069,050,BURGLARY,5200.5007,"(47.659457069, -122.318269293)",U2
2010248641,-122.412960383,47.652011232,050,BURGLARY,5600.2004,"(47.652011232, -122.412960383)",Q1
2010248530,-122.369062261,47.652138946,050,BURGLARY,5900.1019,"(47.652138946, -122.369062261)",Q2
2010248715,-122.367090992,47.675983635,050,BURGLARY,3300.2000,"(47.675983635, -122.367090992)",B3
2010248856,-122.382545647,47.50589422,050,BURGLARY,12100.1002,"(47.50589422, -122.382545647)",W3
2010248974,-122.304938901,47.560589532,050,BURGLARY,10000.3002,"(47.560589532, -122.304938901)",R2
2010249594,-122.309595563,47.60617278,050,BURGLARY,8700.4001,"(47.60617278, -122.309595563)",G1
201628120,-122.27943,47.551933,050,BURGLARY,10300.2005,"(47.551933, -122.27943)",R3
2010249745,-122.351972914,47.690585188,050,BURGLARY,1700.3003,"(47.690585188, -122.351972914)",B3
2010249777,-122.323962378,47.616355739,050,BURGLARY,7400.4004,"(47.616355739, -122.323962378)",E1
2010249940,-122.292753429,47.718303891,050,BURGLARY,700.1000,"(47.718303891, -122.292753429)",L2
2010249945,-122.362150139,47.535515058,050,BURGLARY,10700.2000,"(47.535515058, -122.362150139)",F1
2010250122,-122.36358138,47.642570493,050,BURGLARY,5900.6006,"(47.642570493, -122.36358138)",Q2
201628092,-122.3581,47.672348,050,BURGLARY,3400.3,"(47.672348, -122.3581)",B2
2010249970,-122.348584229,47.653431675,050,BURGLARY,4900.2005,"(47.653431675, -122.348584229)",J3
2010249817,-122.36358138,47.642570493,050,BURGLARY,5900.6006,"(47.642570493, -122.36358138)",Q2
2010249965,-122.318735534,47.678025863,050,BURGLARY,3600.1012,"(47.678025863, -122.318735534)",U1
2010250793,-122.265535618,47.54112826,050,BURGLARY,11102.1011,"(47.54112826, -122.265535618)",R3
2010248067,-122.287208412,47.564751218,050,BURGLARY,10100.5013,"(47.564751218, -122.287208412)",R1
2010251230,-122.299888346,47.591221064,050,BURGLARY,9500.6006,"(47.591221064, -122.299888346)",G2
201624608,-122.286865,47.669415,050,BURGLARY,4200.4016,"(47.669415, -122.286865)",U3
2010250969,-122.267451593,47.507022065,050,BURGLARY,11900.5003,"(47.507022065, -122.267451593)",S3
2010250958,-122.318735534,47.678025863,050,BURGLARY,3600.1012,"(47.678025863, -122.318735534)",U1
2010251071,-122.299888346,47.591221064,050,BURGLARY,9500.6006,"(47.591221064, -122.299888346)",G2
2010251622,-122.359956748,47.551937623,050,BURGLARY,10800.2004,"(47.551937623, -122.359956748)",F1
2010251599,-122.344706419,47.705798569,050,BURGLARY,1300.4001,"(47.705798569, -122.344706419)",N2
2010252141,-122.360924466,47.640506449,050,BURGLARY,6000.3014,"(47.640506449, -122.360924466)",Q2
2010252434,-122.266746167,47.529223093,050,BURGLARY,11800.6000,"(47.529223093, -122.266746167)",S2
2010252543,-122.27899086,47.678505466,050,BURGLARY,3900.1005,"(47.678505466, -122.27899086)",L3
2010252632,-122.362219903,47.713276514,050,BURGLARY,500.3014,"(47.713276514, -122.362219903)",B1
2010252517,-122.265535618,47.54112826,050,BURGLARY,11102.1011,"(47.54112826, -122.265535618)",R3
2010253306,-122.357640244,47.634742871,050,BURGLARY,6800.3002,"(47.634742871, -122.357640244)",Q2
2010252977,-122.317280361,47.590763886,050,BURGLARY,9400.5006,"(47.590763886, -122.317280361)",O1
2010253787,-122.355933801,47.554723706,050,BURGLARY,10800.2000,"(47.554723706, -122.355933801)",F1
2010254038,-122.28604106,47.678507716,050,BURGLARY,3900.3003,"(47.678507716, -122.28604106)",L3
2010254290,-122.264789705,47.526153227,050,BURGLARY,11800.1004,"(47.526153227, -122.264789705)",S2
2010254666,-122.293751048,47.538912489,050,BURGLARY,11000.3000,"(47.538912489, -122.293751048)",O3
2010255213,-122.345628127,47.660072018,050,BURGLARY,5000.3019,"(47.660072018, -122.345628127)",J3
2010255634,-122.386796468,47.595148183,050,BURGLARY,9600.5001,"(47.595148183, -122.386796468)",W1
2010255885,-122.294968361,47.612956186,050,BURGLARY,8800.1001,"(47.612956186, -122.294968361)",G3
2010256012,-122.301754945,47.604325529,050,BURGLARY,8800.4010,"(47.604325529, -122.301754945)",G3
2010256429,-122.391426816,47.516339208,050,BURGLARY,12100.1002,"(47.516339208, -122.391426816)",W3
2010256536,-122.282547007,47.53543987,050,BURGLARY,11000.2005,"(47.53543987, -122.282547007)",S2
2010256635,-122.347790537,47.733221593,050,BURGLARY,401.1001,"(47.733221593, -122.347790537)",N1
2010257293,-122.353950653,47.687665023,050,BURGLARY,2800.5009,"(47.687665023, -122.353950653)",B3
2010257357,-122.365997491,47.688745916,050,BURGLARY,3000.1007,"(47.688745916, -122.365997491)",B3
2010257421,-122.295063531,47.563317275,050,BURGLARY,10000.2003,"(47.563317275, -122.295063531)",R2
2010257483,-122.287401126,47.685761622,050,BURGLARY,2400.2008,"(47.685761622, -122.287401126)",L3
2010257727,-122.388617817,47.697401997,050,BURGLARY,1500.1005,"(47.697401997, -122.388617817)",B1
2010257990,-122.412008943,47.571743013,050,BURGLARY,9701.3014,"(47.571743013, -122.412008943)",W2
2010258003,-122.295376434,47.601653235,050,BURGLARY,8900.6002,"(47.601653235, -122.295376434)",G3
2010257724,-122.260033561,47.550359845,050,BURGLARY,10200.1020,"(47.550359845, -122.260033561)",R3
2010257108,-122.3432623,47.611452758,050,BURGLARY,8002.1004,"(47.611452758, -122.3432623)",M3
2010258440,-122.266683859,47.500015423,050,BURGLARY,11900.4006,"(47.500015423, -122.266683859)",S3
2010258146,-122.390201694,47.522467166,050,BURGLARY,11600.5011,"(47.522467166, -122.390201694)",W3
2010258364,-122.273712434,47.547133323,050,BURGLARY,10200.3011,"(47.547133323, -122.273712434)",R3
2010257941,-122.273712434,47.547133323,050,BURGLARY,10200.3011,"(47.547133323, -122.273712434)",R3
2010258474,-122.282118611,47.552685568,050,BURGLARY,10300.5019,"(47.552685568, -122.282118611)",R3
2010258497,-122.383067472,47.548971714,050,BURGLARY,10600.7008,"(47.548971714, -122.383067472)",W2
2010258784,-122.327297282,47.604982678,050,BURGLARY,8500.1013,"(47.604982678, -122.327297282)",D3
2010258996,-122.279475365,47.54818171,050,BURGLARY,10300.2015,"(47.54818171, -122.279475365)",R3
