tract	vacancy	black	hetero	nohs	pov	pop
1	8.63	13.573	93.877	8.9	16.0068	6255
2	5.38	6.709	94.337	8.5	9.5791	7646
3	6.12	6.416	93.046	9.9	12.6316	2603
4.01	15.62	11.511	94.181	8	19.044	5551
4.02	5.54	5.226	95.228	5.7	6.473	4841
5	4.31	1.295	96.809	2	6.179	3165
6	5.46	7.055	93.994	6.6	8.2441	7626
7	7.81	8.855	94.142	6.2	10.0767	4438
8	4.88	3.252	94.193	3.7	7.1393	2583
9	7.73	0.792	95.542	2.6	7.0389	2019
10	4.61	10.407	94.384	4.6	12.2386	1941
11	6.78	4.475	95.166	2.6	10.8482	2503
12	7.14	8.777	93.794	9.3	22.5522	6494
13	6.86	7.074	94.078	8.4	12.0141	4340
14	5.85	3.795	94.596	9.4	5.8576	4848
15	4.71	0.57	96.251	1.5	5.0519	2454
16	3.79	1.84	95.957	3.1	5.7545	4131
17.01	5.85	5.946	94.212	6.4	10.197	3818
17.02	4.83	4.133	95.158	4.1	7.5554	4234
18	6.81	5.711	93.738	8.7	10.2906	4535
19	15.97	3.127	94.01	4.4	13.7317	4157
20	6.61	2.261	94.392	2.4	7.3991	3406
21	5.2	2.338	95.745	2.7	4.9136	3807
22	6.16	1.362	96.008	0.3	1.8065	5286
24	3.86	1.043	94.919	2.4	4.7253	2972
25	4.23	2.07	95.039	0	4.9173	2802
26	5.46	1.524	95.193	0	12.6167	4660
27	6.27	1.305	95.273	2.8	7.2393	5289
28	5.16	1.294	94.711	1.4	8.3105	4481
29	4.16	0.646	96.169	2	4.2282	4177
30	3.8	1.348	95.92	1.5	5.3889	5637
31	3.23	0.933	95.948	3.2	4.0854	6219
32	5.39	1.354	96.277	1.6	8.5694	7683
33	4.6	1.719	95.1	2.3	4.4434	6224
34	4.86	1.181	96.336	0	3.91	3302
35	4.82	1.499	96.443	1.4	8.3954	3936
36	6.75	1.798	94.764	0.6	12.4678	5672
38	4.2	1.944	94.655	3.1	7.9866	2058
39	3.61	1.479	94.3	0.4	4.5796	2772
40	8.21	5.428	95.167	3.4	16.8102	2690
41	7.38	0.732	96.084	1.8	4.5596	7789
42	4.51	2.586	95.051	0.9	4.0516	7618
43.01	5.97	1.869	94.421	2.5	10.6106	3531
43.02	9.28	2.558	94.912	3.1	26.9218	3518
44	5.24	2.492	94.201	0.5	18.2224	6260
45	3.37	1.158	95.03	0.9	9.8815	2676
46	4.03	1.046	95.909	2	6.4283	3251
47	14.41	3.012	95.904	3.6	6.6473	6739
48	4.84	1.961	95.528	1.6	5.8838	4539
49	5.85	1.955	95.081	1.7	3.857	6139
50	4.36	3.333	95.389	1	5.2503	3600
51	5.54	1.229	95.139	2.1	6.0538	3662
52	9.09	2.535	94.223	3.3	22.2257	6076
53.01	7.74	2.555	94.354	10.5	39.3475	7085
53.02	9.26	1.753	92.131	6.4	#VALUE!	5706
54	7.06	1.981	94.968	0.4	7.3915	4948
56	6.15	0.83	96.584	2.6	2.2076	6382
57	6.89	1.5	95.717	2.1	5.2865	6001
58.01	8.96	2.593	95.13	3.1	6.3199	4743
58.02	7.8	3.677	94.821	1.6	4.5171	5059
59	6.33	1.96	95.275	0	4.8089	6836
60	8.34	2.097	96.039	1.7	7.1649	5150
61	9.83	1.606	96.163	0.7	3.4186	4796
62	4.82	2.339	95.712	1.4	2.7427	3848
63	10.71	1.209	97.158	0.7	4.1684	4962
64	4.89	3.617	96.04	1.2	4.7071	3207
65	8.97	1.107	96.223	1.9	3.2439	4157
66	11.65	3.362	95.763	0.7	5.7902	3540
67	8.65	2.873	95.293	1.9	5.3628	6544
68	9.21	0.529	95.766	1.1	4.1836	2834
69	7.69	1.103	95.074	3.3	3.5021	4080
70	8.38	2.242	96.034	5	3.6176	6959
71	11.76	5.401	95.745	1.2	11.0918	3055
72	20.03	7.108	94.829	4.4	10.7525	5318
73	20.16	10.433	95.18	4.8	18.8675	4668
74.01	7.78	2.26	94.605	2.7	8.6235	4115
74.02	6.82	7.641	94.493	1.8	11.9763	4921
75	8.74	4.887	94.874	0.8	11.056	6282
76	4.61	10.778	94.854	1.7	9.039	3498
77	7.08	19.057	94.124	2.2	6.3757	4476
78	6.2	10.826	94.674	3.4	5.1455	5145
79	7.51	14.999	94.113	3.9	11.3697	5147
