General Offense Number,Longitude,Latitude,Event Clearance Code,Event Clearance Group,Census Tract,Incident Location,Zone/Beat
2010246550,-122.38474408,47.669066266,041,"THREATS, HARASSMENT",4700.5008,"(47.669066266, -122.38474408)",J2
2010246932,-122.347730015,47.728224593,041,"THREATS, HARASSMENT",401.1013,"(47.728224593, -122.347730015)",N1
2010246837,-122.287586512,47.550498178,041,"THREATS, HARASSMENT",10300.3011,"(47.550498178, -122.287586512)",S1
2010246776,-122.332879166,47.600043258,041,"THREATS, HARASSMENT",9200.2022,"(47.600043258, -122.332879166)",K3
2010246788,-122.317442179,47.603515346,041,"THREATS, HARASSMENT",8600.3001,"(47.603515346, -122.317442179)",E3
2010247141,-122.333916344,47.704127952,041,"THREATS, HARASSMENT",1200.5004,"(47.704127952, -122.333916344)",N3
2010247415,-122.322177304,47.618148028,041,"THREATS, HARASSMENT",7400.4001,"(47.618148028, -122.322177304)",E1
2010247460,-122.271084806,47.517407445,041,"THREATS, HARASSMENT",11700.4001,"(47.517407445, -122.271084806)",S2
2010247493,-122.288011035,47.563456655,041,"THREATS, HARASSMENT",10100.5017,"(47.563456655, -122.288011035)",R1
2010247805,-122.297437773,47.698419136,041,"THREATS, HARASSMENT",2100.4000,"(47.698419136, -122.297437773)",L2
2010247915,-122.241392322,47.502193528,041,"THREATS, HARASSMENT",11900.2023,"(47.502193528, -122.241392322)",S3
2010248182,-122.325383164,47.712243475,041,"THREATS, HARASSMENT",1200.4000,"(47.712243475, -122.325383164)",N3
2010248307,-122.331082201,47.602412413,041,"THREATS, HARASSMENT",8100.2036,"(47.602412413, -122.331082201)",K2
2010248458,-122.333235576,47.606444572,041,"THREATS, HARASSMENT",8100.2021,"(47.606444572, -122.333235576)",K1
2010248568,-122.286251242,47.548903142,041,"THREATS, HARASSMENT",10300.3008,"(47.548903142, -122.286251242)",S1
2010248500,-122.344497649,47.685861246,041,"THREATS, HARASSMENT",2700.5004,"(47.685861246, -122.344497649)",J1
2010248656,-122.280776523,47.530727271,041,"THREATS, HARASSMENT",11700.1001,"(47.530727271, -122.280776523)",O3
2010248866,-122.302323073,47.702077164,041,"THREATS, HARASSMENT",1100.2010,"(47.702077164, -122.302323073)",L2
2010248954,-122.360455286,47.529181168,041,"THREATS, HARASSMENT",11400.1011,"(47.529181168, -122.360455286)",F2
2010249616,-122.324126053,47.610748389,041,"THREATS, HARASSMENT",8400.1027,"(47.610748389, -122.324126053)",D3
2010249953,-122.283445035,47.574265582,041,"THREATS, HARASSMENT",9500.3015,"(47.574265582, -122.283445035)",R1
2010250031,-122.387212469,47.545098739,041,"THREATS, HARASSMENT",10600.4000,"(47.545098739, -122.387212469)",W3
2010250090,-122.333887757,47.607158143,041,"THREATS, HARASSMENT",8100.2019,"(47.607158143, -122.333887757)",K1
2010250176,-122.289937786,47.570674961,041,"THREATS, HARASSMENT",10100.5005,"(47.570674961, -122.289937786)",R1
2010250366,-122.286149145,47.556263448,041,"THREATS, HARASSMENT",10300.4012,"(47.556263448, -122.286149145)",R2
2010250796,-122.382242689,47.589497561,041,"THREATS, HARASSMENT",9600.5005,"(47.589497561, -122.382242689)",W1
2010250829,-122.381865409,47.545705053,041,"THREATS, HARASSMENT",10600.2003,"(47.545705053, -122.381865409)",W3
2010251088,-122.32213936,47.615810125,041,"THREATS, HARASSMENT",8400.1001,"(47.615810125, -122.32213936)",E2
2010251458,-122.3314721,47.606195955,041,"THREATS, HARASSMENT",8100.2025,"(47.606195955, -122.3314721)",K1
2010248750,-122.368875825,47.6439452,041,"THREATS, HARASSMENT",5900.5008,"(47.6439452, -122.368875825)",Q2
2010251530,-122.316125603,47.606200257,041,"THREATS, HARASSMENT",8600.1017,"(47.606200257, -122.316125603)",E3
2010251657,-122.311999765,47.622084901,041,"THREATS, HARASSMENT",7600.3003,"(47.622084901, -122.311999765)",C2
2010251778,-122.361804965,47.53369478,041,"THREATS, HARASSMENT",11400.1004,"(47.53369478, -122.361804965)",F2
2010251560,-122.401802383,47.689241734,041,"THREATS, HARASSMENT",3100.6001,"(47.689241734, -122.401802383)",B2
2010252244,-122.306511937,47.673046462,041,"THREATS, HARASSMENT",4300.5011,"(47.673046462, -122.306511937)",U1
2010252470,-122.308019912,47.733898279,041,"THREATS, HARASSMENT",200.6004,"(47.733898279, -122.308019912)",L1
2010252657,-122.362150139,47.535515058,041,"THREATS, HARASSMENT",10700.2000,"(47.535515058, -122.362150139)",F1
2010252659,-122.353942897,47.652125425,041,"THREATS, HARASSMENT",4900.3005,"(47.652125425, -122.353942897)",J2
2010252813,-122.35675152,47.619190161,041,"THREATS, HARASSMENT",7100.2020,"(47.619190161, -122.35675152)",Q3
2010252898,-122.354200805,47.715062684,041,"THREATS, HARASSMENT",402.3002,"(47.715062684, -122.354200805)",B1
2010253023,-122.380035358,47.558383521,041,"THREATS, HARASSMENT",10500.1010,"(47.558383521, -122.380035358)",W2
2010253794,-122.300103805,47.613537272,041,"THREATS, HARASSMENT",7700.3016,"(47.613537272, -122.300103805)",C3
2010253828,-122.327034673,47.608052029,041,"THREATS, HARASSMENT",8200.2007,"(47.608052029, -122.327034673)",D3
2010253895,-122.270000915,47.518651581,041,"THREATS, HARASSMENT",11800.4008,"(47.518651581, -122.270000915)",S3
2010254017,-122.313087957,47.663996256,041,"THREATS, HARASSMENT",5301.2000,"(47.663996256, -122.313087957)",U3
2010253798,-122.273537907,47.523310098,041,"THREATS, HARASSMENT",11800.4002,"(47.523310098, -122.273537907)",S2
2010254677,-122.292840975,47.723795095,041,"THREATS, HARASSMENT",100.3006,"(47.723795095, -122.292840975)",L1
2010254638,-122.391092462,47.538820553,041,"THREATS, HARASSMENT",11600.6002,"(47.538820553, -122.391092462)",W3
2010255017,-122.326536782,47.617406614,041,"THREATS, HARASSMENT",7400.5009,"(47.617406614, -122.326536782)",E1
2010255121,-122.358660998,47.625721059,041,"THREATS, HARASSMENT",7000.5005,"(47.625721059, -122.358660998)",Q3
2010255501,-122.281326694,47.533367703,041,"THREATS, HARASSMENT",11000.2000,"(47.533367703, -122.281326694)",S2
2010255387,-122.324615153,47.708602801,041,"THREATS, HARASSMENT",1200.4005,"(47.708602801, -122.324615153)",N3
2010255349,-122.331735385,47.603126533,041,"THREATS, HARASSMENT",8100.2034,"(47.603126533, -122.331735385)",K2
2010253008,-122.356459561,47.521949867,041,"THREATS, HARASSMENT",11400.3021,"(47.521949867, -122.356459561)",F2
2010255437,-122.342362258,47.731401249,041,"THREATS, HARASSMENT",300.3016,"(47.731401249, -122.342362258)",N1
2010255529,-122.344996835,47.725035552,041,"THREATS, HARASSMENT",600.1012,"(47.725035552, -122.344996835)",N1
2010255707,-122.353168644,47.617308877,041,"THREATS, HARASSMENT",8001.1004,"(47.617308877, -122.353168644)",M1
2010256241,-122.34210065,47.690544166,041,"THREATS, HARASSMENT",1800.2009,"(47.690544166, -122.34210065)",N2
2010256053,-122.283286678,47.540681662,041,"THREATS, HARASSMENT",11000.1009,"(47.540681662, -122.283286678)",S1
2010255990,-122.331124149,47.601717571,041,"THREATS, HARASSMENT",9200.2002,"(47.601717571, -122.331124149)",K2
2010256331,-122.33653319,47.604571633,041,"THREATS, HARASSMENT",8100.1040,"(47.604571633, -122.33653319)",M3
2010256487,-122.362021029,47.702962044,041,"THREATS, HARASSMENT",1400.3003,"(47.702962044, -122.362021029)",B1
2010256776,-122.395713511,47.634116576,041,"THREATS, HARASSMENT",5600.7023,"(47.634116576, -122.395713511)",Q1
2010257183,-122.324645299,47.618485518,041,"THREATS, HARASSMENT",7400.4002,"(47.618485518, -122.324645299)",E1
2010257296,-122.331243563,47.606784793,041,"THREATS, HARASSMENT",8200.2005,"(47.606784793, -122.331243563)",K1
2010257562,-122.328513729,47.702271935,041,"THREATS, HARASSMENT",1900.4000,"(47.702271935, -122.328513729)",N3
2010257581,-122.331735385,47.603126533,041,"THREATS, HARASSMENT",8100.2034,"(47.603126533, -122.331735385)",K2
2010258160,-122.313087957,47.663996256,041,"THREATS, HARASSMENT",5301.2000,"(47.663996256, -122.313087957)",U3
2010258264,-122.282344886,47.537044021,041,"THREATS, HARASSMENT",11000.1011,"(47.537044021, -122.282344886)",S1
2010258701,-122.324495885,47.617046946,041,"THREATS, HARASSMENT",7400.4003,"(47.617046946, -122.324495885)",E1
2010259224,-122.305205973,47.696781343,041,"THREATS, HARASSMENT",2100.4006,"(47.696781343, -122.305205973)",U1
2010258941,-122.28046254,47.634129304,041,"THREATS, HARASSMENT",6300.6010,"(47.634129304, -122.28046254)",C3
2010229789,-122.287854851,47.530343431,041,"THREATS, HARASSMENT",11700.3001,"(47.530343431, -122.287854851)",O3
2010260859,-122.312759582,47.734406762,041,"THREATS, HARASSMENT",200.4001,"(47.734406762, -122.312759582)",L1
2010259962,-122.30886359,47.612218998,041,"THREATS, HARASSMENT",7900.2007,"(47.612218998, -122.30886359)",G1
2010260340,-122.368002394,47.653586166,041,"THREATS, HARASSMENT",5900.1009,"(47.653586166, -122.368002394)",Q2
2010259432,-122.341959547,47.610682001,041,"THREATS, HARASSMENT",8002.1006,"(47.610682001, -122.341959547)",M3
2010260397,-122.292753429,47.718303891,041,"THREATS, HARASSMENT",700.1001,"(47.718303891, -122.292753429)",L2
2010259413,-122.330624759,47.603590548,041,"THREATS, HARASSMENT",8100.2032,"(47.603590548, -122.330624759)",K2
2010260343,-122.322158307,47.616978426,041,"THREATS, HARASSMENT",8400.1000,"(47.616978426, -122.322158307)",E1
2010260977,-122.406373387,47.676428936,041,"THREATS, HARASSMENT",3200.6000,"(47.676428936, -122.406373387)",B2
2010260830,-122.356933968,47.637776091,041,"THREATS, HARASSMENT",6800.4011,"(47.637776091, -122.356933968)",Q2
2010260379,-122.304989597,47.611474338,041,"THREATS, HARASSMENT",7900.1008,"(47.611474338, -122.304989597)",G1
2010260395,-122.291137897,47.718291369,041,"THREATS, HARASSMENT",700.1000,"(47.718291369, -122.291137897)",L2
2010260626,-122.302759195,47.599277912,041,"THREATS, HARASSMENT",9000.1006,"(47.599277912, -122.302759195)",G2
2010259855,-122.341959547,47.610682001,041,"THREATS, HARASSMENT",8002.1006,"(47.610682001, -122.341959547)",M3
2010261758,-122.335320783,47.608724516,041,"THREATS, HARASSMENT",8100.2012,"(47.608724516, -122.335320783)",K1
2010259430,-122.364519255,47.526056589,041,"THREATS, HARASSMENT",11400.2009,"(47.526056589, -122.364519255)",F2
2010260085,-122.322275771,47.679517762,041,"THREATS, HARASSMENT",3600.2018,"(47.679517762, -122.322275771)",J1
2010261957,-122.356933968,47.637776091,041,"THREATS, HARASSMENT",6800.4011,"(47.637776091, -122.356933968)",Q2
2010261847,-122.386583566,47.580252743,041,"THREATS, HARASSMENT",9800.8003,"(47.580252743, -122.386583566)",W1
2010261927,-122.27899086,47.678505466,041,"THREATS, HARASSMENT",3900.1004,"(47.678505466, -122.27899086)",L3
2010261878,-122.316125603,47.606200257,041,"THREATS, HARASSMENT",8600.1016,"(47.606200257, -122.316125603)",E3
2010262261,-122.384651892,47.645667202,041,"THREATS, HARASSMENT",5802.1011,"(47.645667202, -122.384651892)",Q1
2010261995,-122.296947284,47.571033264,041,"THREATS, HARASSMENT",10000.2000,"(47.571033264, -122.296947284)",R2
2010262144,-122.311436362,47.582974926,041,"THREATS, HARASSMENT",9400.3028,"(47.582974926, -122.311436362)",O1
2010262369,-122.376303701,47.693711724,041,"THREATS, HARASSMENT",1600.3007,"(47.693711724, -122.376303701)",B1
2010262171,-122.315130588,47.558662224,041,"THREATS, HARASSMENT",10400.6006,"(47.558662224, -122.315130588)",R2
2010262765,-122.328568388,47.608890236,041,"THREATS, HARASSMENT",8200.2001,"(47.608890236, -122.328568388)",D3
2010262820,-122.330741488,47.600877803,041,"THREATS, HARASSMENT",9200.2016,"(47.600877803, -122.330741488)",K2
2010263026,-122.38418767,47.53575233,041,"THREATS, HARASSMENT",11600.1004,"(47.53575233, -122.38418767)",W3
2010262950,-122.335710848,47.704131016,041,"THREATS, HARASSMENT",1300.1007,"(47.704131016, -122.335710848)",N3
2010263239,-122.304989597,47.611474338,041,"THREATS, HARASSMENT",7900.1006,"(47.611474338, -122.304989597)",G1
2010263335,-122.343702997,47.612886564,041,"THREATS, HARASSMENT",8002.1003,"(47.612886564, -122.343702997)",M3
2010263418,-122.326901618,47.551459122,041,"THREATS, HARASSMENT",10900.2060,"(47.551459122, -122.326901618)",O3
