General Offense Number,Longitude,Latitude,Event Clearance Code,Event Clearance Group,Census Tract,Incident Location,Zone/Beat
2010259039,-122.4009853,47.64084781,10,HOMICIDE,5700.4002,"(47.640847812, -122.400985301)",Q1
2010260415,-122.3246152,47.7086028,10,HOMICIDE,1200.4005,"(47.708602801, -122.324615153)",N3
2010267022,-122.3856652,47.64146964,10,HOMICIDE,5802.3002,"(47.641469642, -122.385665248)",Q1
2010277606,-122.2714035,47.52282141,10,HOMICIDE,11800.4004,"(47.522821411, -122.271403538)",S2
2010278583,-122.316845,47.61468385,10,HOMICIDE,7500.4006,"(47.614683851, -122.316845009)",C2
2010291905,-122.3364693,47.62578713,10,HOMICIDE,6600.2016,"(47.625787129, -122.336469332)",D2
2010294867,-122.2985761,47.68186829,10,HOMICIDE,3800.3001,"(47.681868288, -122.29857607)",U1
2010294757,-122.2899511,47.68304771,10,HOMICIDE,2400.3011,"(47.683047712, -122.289951114)",L3
201631003,-122.32177,47.589085,10,HOMICIDE,9300.1042,"(47.589085, -122.32177)",O1
2010295942,-122.2540558,47.50637824,10,HOMICIDE,11900.2014,"(47.506378239, -122.254055763)",S3
2010296041,-122.2786367,47.75268278,10,HOMICIDE,NULL,"(47.752682779, -122.278636745)",99
2010320653,-122.3353064,47.61671742,10,HOMICIDE,7300.2008,"(47.616717421, -122.335306395)",D2
2010325630,-122.2951809,47.57925014,10,HOMICIDE,9500.5003,"(47.579250143, -122.295180902)",R1
2010328786,-122.293751,47.53891249,10,HOMICIDE,11000.3,"(47.538912489, -122.293751048)",O3
2010329498,-122.3131157,47.66218058,10,HOMICIDE,5301.2008,"(47.662180577, -122.313115706)",U3
2010332601,-122.3665982,47.51737101,10,HOMICIDE,NULL,"(47.517371011, -122.366598178)",99
2010332817,-122.2649745,47.50138139,10,HOMICIDE,11900.4006,"(47.501381394, -122.264974524)",S3
2010333340,-122.3528835,47.51826615,10,HOMICIDE,11300.2008,"(47.518266146, -122.35288352)",F3
2010334888,-122.3551145,47.52195142,10,HOMICIDE,11400.3021,"(47.52195142, -122.355114534)",F2
2010331715,-122.3699834,47.52013355,10,HOMICIDE,11400.5003,"(47.520133554, -122.369983377)",F2
2010337177,-122.329056,47.58085134,10,HOMICIDE,9300.3027,"(47.580851337, -122.329055962)",O2
2010342469,-122.3337341,47.49628459,10,HOMICIDE,NULL,"(47.496284589, -122.333734065)",99
2010347449,-122.3630318,47.54838389,10,HOMICIDE,10700.1007,"(47.548383886, -122.363031762)",F1
2009383210,-122.2943344,47.60165104,10,HOMICIDE,8800.301,"(47.601651037, -122.294334431)",G3
2010370368,-122.3184307,47.59918656,10,HOMICIDE,9100.1002,"(47.599186562, -122.318430715)",E3
2010374259,-122.3394586,47.60905305,10,HOMICIDE,8100.201,"(47.609053053, -122.339458563)",K1
2010376301,-122.3172295,47.59707936,10,HOMICIDE,9100.1006,"(47.597079361, -122.317229548)",G2
2010376472,-122.293751,47.53891249,10,HOMICIDE,11000.3,"(47.538912489, -122.293751048)",O3
2010385619,-122.3172261,47.59918764,10,HOMICIDE,9100.1002,"(47.599187636, -122.317226089)",E3
2010385920,-122.3630318,47.54838389,10,HOMICIDE,10700.1007,"(47.548383886, -122.363031762)",F1
2010399912,-122.293751,47.53891249,10,HOMICIDE,11000.5008,"(47.538912489, -122.293751048)",S1
2010402755,-122.2852871,47.69787419,10,HOMICIDE,11000.3,"(47.69787419, -122.285287054)",O3
2010406544,-122.3127799,47.61291166,10,HOMICIDE,8600.1,"(47.612911655, -122.312779862)",G1
2010423688,-122.293751,47.53891249,10,HOMICIDE,11000.3,"(47.538912489, -122.293751048)",O3
2010431697,-122.3630318,47.54838389,10,HOMICIDE,10700.1007,"(47.548383885, -122.363031762)",F1
2010431842,-122.3630318,47.54838389,10,HOMICIDE,10700.1007,"(47.548383885, -122.363031762)",F1
2011223505,-122.4046129,47.6583249,10,HOMICIDE,5700.1012,"(47.658324899, -122.404612874)",Q1
2011229174,-122.2647236,47.51258366,10,HOMICIDE,11900.5003,"(47.512583659, -122.264723555)",S3
2011238572,-122.2693221,47.53763755,10,HOMICIDE,11102.4004,"(47.537637547, -122.269322055)",R3
2011227461,-122.2654081,47.51545656,10,HOMICIDE,11800.3014,"(47.515456562, -122.265408107)",S3
2011242012,-122.3076595,47.60217534,10,HOMICIDE,8700.4018,"(47.602175344, -122.307659479)",G1
2011243351,-122.270435,47.5376416,10,HOMICIDE,11101.1005,"(47.5376416, -122.270434958)",R3
201629267,-122.34586,47.61299,10,HOMICIDE,8002.2005,"(47.61299, -122.34586)",D1
201638652,-122.27051,47.53796,10,HOMICIDE,11101.1006,"(47.53796, -122.27051)",S2
2011258122,-122.2962123,47.61227923,10,HOMICIDE,8800.1001,"(47.612279233, -122.296212257)",G3
2011262738,-122.3281446,47.60758777,10,HOMICIDE,8200.2007,"(47.607587767, -122.328144598)",D3
2011301240,-122.2981537,47.57834893,10,HOMICIDE,9500.5004,"(47.578348928, -122.298153667)",O1
2011304014,-122.3295143,47.60405521,10,HOMICIDE,8500.101,"(47.604055213, -122.329514322)",K2
2011304394,-122.293751,47.53891249,10,HOMICIDE,11000.3,"(47.538912489, -122.293751048)",O3
201650525,-122.34586,47.61299,10,HOMICIDE,8002.2005,"(47.61299, -122.34586)",D1
2011312372,-122.2989004,47.60617323,10,HOMICIDE,8800.4008,"(47.606173225, -122.298900395)",G3
2011319924,-122.3154167,47.73169353,10,HOMICIDE,4400.1008,"(47.731693525, -122.31541665)",U1
2011327010,-122.341344,47.61027454,10,HOMICIDE,8002.1006,"(47.610274537, -122.341344023)",M3
2011341308,-122.3953283,47.58031251,10,HOMICIDE,9702.5005,"(47.580312508, -122.395328333)",W1
2011344880,-122.3761733,47.64385664,10,HOMICIDE,5802.2005,"(47.643856638, -122.376173296)",Q2
2011120196,-122.3345243,47.70233163,10,HOMICIDE,1300.1009,"(47.702331628, -122.33452433)",N3
201662644,-122.30628,47.6903,10,HOMICIDE,2100.3008,"(47.6903, -122.30628)",U1
2011190422,-122.3818824,47.54342564,10,HOMICIDE,10600.3015,"(47.54342564, -122.381882395)",W3
2011198137,-122.293751,47.53891249,10,HOMICIDE,11000.3,"(47.538912489, -122.293751048)",O3
2011383494,-122.2894164,47.54432891,10,HOMICIDE,11000.1,"(47.544328906, -122.289416403)",S1
2011388884,-122.347719,47.72731572,10,HOMICIDE,401.3,"(47.727315717, -122.347719012)",N1
