General Offense Number,Longitude,Latitude,Event Clearance Code,Event Clearance Group,Census Tract,Incident Location,Zone/Beat
2010246542,-122.27047392,47.556317385,130,PROPERTY DAMAGE,10200.6011,"(47.556317385, -122.27047392)",R3
2010246364,-122.329524396,47.674414029,130,PROPERTY DAMAGE,3600.3011,"(47.674414029, -122.329524396)",J1
2010246122,-122.348468551,47.617463229,130,PROPERTY DAMAGE,7200.2012,"(47.617463229, -122.348468551)",M1
2010246360,-122.383493727,47.667830183,130,PROPERTY DAMAGE,4700.5013,"(47.667830183, -122.383493727)",J2
2010246785,-122.348393394,47.616246474,130,PROPERTY DAMAGE,8001.1000,"(47.616246474, -122.348393394)",M1
2010246820,-122.333535222,47.599203857,130,PROPERTY DAMAGE,9200.2024,"(47.599203857, -122.333535222)",K3
2010246712,-122.33787064,47.606478382,130,PROPERTY DAMAGE,8100.1022,"(47.606478382, -122.33787064)",M3
2010246978,-122.336029062,47.611174927,130,PROPERTY DAMAGE,8200.1004,"(47.611174927, -122.336029062)",K1
2010247048,-122.316110274,47.61039229,130,PROPERTY DAMAGE,8600.2001,"(47.61039229, -122.316110274)",E2
2010247137,-122.317810579,47.657201765,130,PROPERTY DAMAGE,5301.4004,"(47.657201765, -122.317810579)",U2
2010247372,-122.324645299,47.618485518,130,PROPERTY DAMAGE,7400.4002,"(47.618485518, -122.324645299)",E1
2010247386,-122.342644667,47.616365592,130,PROPERTY DAMAGE,7200.2018,"(47.616365592, -122.342644667)",M2
2010247418,-122.293751048,47.538912489,130,PROPERTY DAMAGE,11000.5008,"(47.538912489, -122.293751048)",S1
2010247519,-122.28919481,47.622529572,130,PROPERTY DAMAGE,7800.7002,"(47.622529572, -122.28919481)",C3
2010247348,-122.38886522,47.670188335,130,PROPERTY DAMAGE,3200.3000,"(47.670188335, -122.38886522)",B2
2010247232,-122.357331648,47.632316637,130,PROPERTY DAMAGE,7000.4000,"(47.632316637, -122.357331648)",Q3
2010247476,-122.340462679,47.612730311,130,PROPERTY DAMAGE,8002.1001,"(47.612730311, -122.340462679)",M2
2010247581,-122.333368028,47.617329291,130,PROPERTY DAMAGE,7300.2011,"(47.617329291, -122.333368028)",D2
2010247681,-122.313903083,47.526437905,130,PROPERTY DAMAGE,11200.3010,"(47.526437905, -122.313903083)",F3
2010247680,-122.304435158,47.667776688,130,PROPERTY DAMAGE,4300.4001,"(47.667776688, -122.304435158)",U2
2010247705,-122.354790651,47.619765855,130,PROPERTY DAMAGE,7100.2018,"(47.619765855, -122.354790651)",Q3
2010247673,-122.349912705,47.653434902,130,PROPERTY DAMAGE,4900.3009,"(47.653434902, -122.349912705)",J2
2010247905,-122.337114436,47.626644659,130,PROPERTY DAMAGE,6600.2016,"(47.626644659, -122.337114436)",D2
2010248138,-122.376191521,47.566016705,130,PROPERTY DAMAGE,9800.4007,"(47.566016705, -122.376191521)",W2
2010248196,-122.316300673,47.667505407,130,PROPERTY DAMAGE,4400.5008,"(47.667505407, -122.316300673)",U3
2010248309,-122.325967749,47.593657946,130,PROPERTY DAMAGE,9300.1019,"(47.593657946, -122.325967749)",K3
2010248136,-122.268650086,47.523303841,130,PROPERTY DAMAGE,11800.4000,"(47.523303841, -122.268650086)",S3
2010248555,-122.258073018,47.550616959,130,PROPERTY DAMAGE,10200.1003,"(47.550616959, -122.258073018)",R3
2010249012,-122.353162049,47.618480049,130,PROPERTY DAMAGE,7100.2001,"(47.618480049, -122.353162049)",M1
2010248815,-122.276459827,47.541568492,130,PROPERTY DAMAGE,11101.2004,"(47.541568492, -122.276459827)",S1
2010249207,-122.308340723,47.663962691,130,PROPERTY DAMAGE,5301.1002,"(47.663962691, -122.308340723)",U3
