General Offense Number,Longitude,Latitude,Event Clearance Code,Event Clearance Group,Census Tract,Incident Location,Zone/Beat
2010247737,-122.326935297,47.523927593,030,ROBBERY,11200.1012,"(47.523927593, -122.326935297)",F3
2010247894,-122.26999538,47.521657518,030,ROBBERY,11800.6014,"(47.521657518, -122.26999538)",S3
2010248403,-122.393679755,47.693450908,030,ROBBERY,1500.2000,"(47.693450908, -122.393679755)",B1
2010248442,-122.313436503,47.596654658,030,ROBBERY,9000.3020,"(47.596654658, -122.313436503)",G2
2010248603,-122.321918378,47.708585781,030,ROBBERY,1200.3003,"(47.708585781, -122.321918378)",N3
2010252077,-122.305101398,47.559709808,030,ROBBERY,10400.8003,"(47.559709808, -122.305101398)",R2
2010254858,-122.336430194,47.608259702,030,ROBBERY,8100.2010,"(47.608259702, -122.336430194)",K1
2010256152,-122.320771373,47.613519515,030,ROBBERY,8400.1017,"(47.613519515, -122.320771373)",E2
2010257222,-122.327550897,47.611975666,030,ROBBERY,8300.2009,"(47.611975666, -122.327550897)",D3
2010257618,-122.313707737,47.661273174,030,ROBBERY,5301.2008,"(47.661273174, -122.313707737)",U3
2010258083,-122.302231473,47.598579339,030,ROBBERY,9000.1006,"(47.598579339, -122.302231473)",G2
2010258142,-122.344896102,47.717174471,030,ROBBERY,600.3005,"(47.717174471, -122.344896102)",N1
2010261169,-122.31430511,47.660542969,030,ROBBERY,5301.3001,"(47.660542969, -122.31430511)",U2
2010261290,-122.293751048,47.538912489,030,ROBBERY,11000.3000,"(47.538912489, -122.293751048)",O3
2010259378,-122.348430881,47.616854972,030,ROBBERY,8001.1000,"(47.616854972, -122.348430881)",M1
2010261368,-122.387454467,47.561122238,030,ROBBERY,10500.5008,"(47.561122238, -122.387454467)",W2
2010261681,-122.321599809,47.526461485,030,ROBBERY,11200.3006,"(47.526461485, -122.321599809)",F3
2010261907,-122.321599809,47.526461485,030,ROBBERY,11200.3006,"(47.526461485, -122.321599809)",F3
2010262894,-122.336199743,47.659732064,030,ROBBERY,5100.5013,"(47.659732064, -122.336199743)",J3
2010252805,-122.29054411,47.697045012,030,ROBBERY,2200.2003,"(47.697045012, -122.29054411)",L3
2010266461,-122.282033476,47.531537725,030,ROBBERY,11000.2007,"(47.531537725, -122.282033476)",S2
2010266517,-122.317795989,47.623690948,030,ROBBERY,7500.3002,"(47.623690948, -122.317795989)",C1
2010267185,-122.336760491,47.606942425,030,ROBBERY,8100.1021,"(47.606942425, -122.336760491)",K1
2010270156,-122.347035838,47.514860087,030,ROBBERY,NULL,"(47.514860087, -122.347035838)",99
2010272439,-122.278918467,47.539780523,030,ROBBERY,11101.4010,"(47.539780523, -122.278918467)",S1
2010271613,-122.33114626,47.678320231,030,ROBBERY,3600.4008,"(47.678320231, -122.33114626)",J1
2010273110,-122.309660874,47.665644332,030,ROBBERY,4400.3007,"(47.665644332, -122.309660874)",U3
2010273135,-122.362729784,47.701391227,030,ROBBERY,1700.6004,"(47.701391227, -122.362729784)",N2
201628417,-122.29845,47.719296,030,ROBBERY,200.2009,"(47.719296, -122.29845)",L1
2010273876,-122.362150139,47.535515058,030,ROBBERY,10700.2000,"(47.535515058, -122.362150139)",F1
2010273531,-122.344706419,47.705798569,030,ROBBERY,1300.4001,"(47.705798569, -122.344706419)",N2
2010274839,-122.359835267,47.521029,030,ROBBERY,11400.3019,"(47.521029, -122.359835267)",F2
2010274735,-122.33452433,47.702331629,030,ROBBERY,1300.1009,"(47.702331629, -122.33452433)",N3
2010274864,-122.326517914,47.632133003,030,ROBBERY,6600.2008,"(47.632133003, -122.326517914)",D2
2010275812,-122.335017881,47.610909012,030,ROBBERY,8200.1004,"(47.610909012, -122.335017881)",K1
2010276661,-122.268109855,47.500829591,030,ROBBERY,11900.4006,"(47.500829591, -122.268109855)",S3
2010276972,-122.296353052,47.5462666,030,ROBBERY,11000.4000,"(47.5462666, -122.296353052)",S1
2010278883,-122.30621539,47.614094,030,ROBBERY,7900.2004,"(47.614094, -122.30621539)",G1
2010279766,-122.268650086,47.523303841,030,ROBBERY,11800.4000,"(47.523303841, -122.268650086)",S3
2010280916,-122.295573515,47.564123166,030,ROBBERY,10000.2003,"(47.564123166, -122.295573515)",R2
2010283720,-122.336454736,47.601720428,030,ROBBERY,9200.2008,"(47.601720428, -122.336454736)",K3
2010285253,-122.362150139,47.535515058,030,ROBBERY,10700.2000,"(47.535515058, -122.362150139)",F1
2010285836,-122.320210851,47.629580046,030,ROBBERY,6500.4000,"(47.629580046, -122.320210851)",C1
2010286647,-122.3596266,47.522334226,030,ROBBERY,11400.3015,"(47.522334226, -122.3596266)",F2
2010289006,-122.279444954,47.540667582,030,ROBBERY,11101.4010,"(47.540667582, -122.279444954)",S1
2010289196,-122.29469691,47.720185075,030,ROBBERY,700.1002,"(47.720185075, -122.29469691)",L1
2010289478,-122.340797599,47.608493097,030,ROBBERY,8100.1011,"(47.608493097, -122.340797599)",M3
2010290373,-122.327685992,47.60171208,030,ROBBERY,9200.1000,"(47.60171208, -122.327685992)",K2
2010291697,-122.355419403,47.622687357,030,ROBBERY,7100.2001,"(47.622687357, -122.355419403)",D1
2010291873,-122.303300194,47.601083592,030,ROBBERY,9000.1000,"(47.601083592, -122.303300194)",G2
2010293876,-122.333505556,47.614288791,030,ROBBERY,8200.1001,"(47.614288791, -122.333505556)",D2
2010293939,-122.333268217,47.596783427,030,ROBBERY,9300.2002,"(47.596783427, -122.333268217)",K3
2010293934,-122.304292431,47.612927199,030,ROBBERY,7900.1006,"(47.612927199, -122.304292431)",G1
2010295048,-122.357330939,47.692429931,030,ROBBERY,1700.3015,"(47.692429931, -122.357330939)",B3
2010295416,-122.268650086,47.523303841,030,ROBBERY,11800.4000,"(47.523303841, -122.268650086)",S3
2010295137,-122.308115531,47.617605939,030,ROBBERY,7900.5001,"(47.617605939, -122.308115531)",C2
2010296892,-122.338047721,47.611705679,030,ROBBERY,8100.2002,"(47.611705679, -122.338047721)",M2
2010297252,-122.302123279,47.60800752,030,ROBBERY,8800.4003,"(47.60800752, -122.302123279)",G1
2010297774,-122.348637561,47.522823268,030,ROBBERY,11300.3001,"(47.522823268, -122.348637561)",F3
2010299021,-122.345422125,47.611557226,030,ROBBERY,8002.2014,"(47.611557226, -122.345422125)",M3
2010299189,-122.301925334,47.73109899,030,ROBBERY,200.6000,"(47.73109899, -122.301925334)",L1
2010299778,-122.312674745,47.720318297,030,ROBBERY,200.7004,"(47.720318297, -122.312674745)",L1
2010300051,-122.345642822,47.612274033,030,ROBBERY,8001.2008,"(47.612274033, -122.345642822)",M3
2010300919,-122.355448955,47.704721296,030,ROBBERY,1700.1002,"(47.704721296, -122.355448955)",N2
2010301014,-122.338146748,47.610975163,030,ROBBERY,8100.2004,"(47.610975163, -122.338146748)",M2
2010304472,-122.365221011,47.521022536,030,ROBBERY,11400.3007,"(47.521022536, -122.365221011)",F2
2010305290,-122.350637547,47.520086373,030,ROBBERY,11300.2003,"(47.520086373, -122.350637547)",F3
2010307084,-122.324412807,47.596673267,030,ROBBERY,9100.1016,"(47.596673267, -122.324412807)",K2
2010310231,-122.338247307,47.610246302,030,ROBBERY,8100.2004,"(47.610246302, -122.338247307)",K1
2010315456,-122.293751048,47.538912489,030,ROBBERY,11000.3000,"(47.538912489, -122.293751048)",O3
2010316721,-122.344520045,47.690199289,030,ROBBERY,2800.1000,"(47.690199289, -122.344520045)",J1
2010317143,-122.298712405,47.578350191,030,ROBBERY,9500.5004,"(47.578350191, -122.298712405)",O1
2010317463,-122.302759195,47.599277912,030,ROBBERY,9000.1006,"(47.599277912, -122.302759195)",G2
2010317957,-122.270035404,47.514944455,030,ROBBERY,11900.5003,"(47.514944455, -122.270035404)",S3
2010298066,-122.34098276,47.530604747,030,ROBBERY,11300.1003,"(47.530604747, -122.34098276)",F3
2010318397,-122.361035724,47.620753616,030,ROBBERY,7100.1011,"(47.620753616, -122.361035724)",Q3
2010319631,-122.387202705,47.581187603,030,ROBBERY,9600.2014,"(47.581187603, -122.387202705)",W1
