General Offense Number,Longitude,Latitude,Event Clearance Code,Event Clearance Group,Census Tract,Incident Location,Zone/Beat
2010246274,-122.335928554,47.611904236,064,SHOPLIFTING,8200.1004,"(47.611904236, -122.335928554)",K1
2010246552,-122.290453259,47.682140148,064,SHOPLIFTING,3900.4004,"(47.682140148, -122.290453259)",L3
2010246530,-122.33943176,47.604833069,064,SHOPLIFTING,8100.1027,"(47.604833069, -122.33943176)",M3
2010246445,-122.336029062,47.611174927,064,SHOPLIFTING,8200.1004,"(47.611174927, -122.336029062)",K1
2010246834,-122.344562703,47.612221863,064,SHOPLIFTING,8002.1003,"(47.612221863, -122.344562703)",M3
2010247198,-122.312853885,47.600008405,064,SHOPLIFTING,9000.3012,"(47.600008405, -122.312853885)",G2
2010247166,-122.337338755,47.60925298,064,SHOPLIFTING,8100.2009,"(47.60925298, -122.337338755)",K1
2010247255,-122.337338755,47.60925298,064,SHOPLIFTING,8100.2009,"(47.60925298, -122.337338755)",K1
2010247235,-122.327680653,47.596655376,064,SHOPLIFTING,9100.1014,"(47.596655376, -122.327680653)",K2
2010248831,-122.307009676,47.599250777,064,SHOPLIFTING,9000.2000,"(47.599250777, -122.307009676)",G2
2010247159,-122.332582828,47.605731052,064,SHOPLIFTING,8100.2025,"(47.605731052, -122.332582828)",K1
2010247393,-122.346918642,47.624559765,064,SHOPLIFTING,7200.1006,"(47.624559765, -122.346918642)",D1
2010247387,-122.316510492,47.674979447,064,SHOPLIFTING,4400.1008,"(47.674979447, -122.316510492)",U1
2010247365,-122.335928554,47.611904236,064,SHOPLIFTING,8200.1003,"(47.611904236, -122.335928554)",M2
2010247288,-122.327680653,47.596655376,064,SHOPLIFTING,9100.1014,"(47.596655376, -122.327680653)",K2
2010247505,-122.316510492,47.674979447,064,SHOPLIFTING,4400.1008,"(47.674979447, -122.316510492)",U1
2010247587,-122.337338755,47.60925298,064,SHOPLIFTING,8100.2010,"(47.60925298, -122.337338755)",K1
2010247456,-122.321445646,47.614070933,064,SHOPLIFTING,8400.1017,"(47.614070933, -122.321445646)",E2
2010247531,-122.336938539,47.612168781,064,SHOPLIFTING,8200.1003,"(47.612168781, -122.336938539)",M2
2010247936,-122.31263652,47.622595269,064,SHOPLIFTING,7600.3002,"(47.622595269, -122.31263652)",C2
2010248246,-122.337338755,47.60925298,064,SHOPLIFTING,8100.2010,"(47.60925298, -122.337338755)",K1
2010248228,-122.317464075,47.681894279,064,SHOPLIFTING,2600.4004,"(47.681894279, -122.317464075)",U1
2010248468,-122.269987874,47.522815641,064,SHOPLIFTING,11800.6014,"(47.522815641, -122.269987874)",S3
2010248515,-122.354751201,47.624576885,064,SHOPLIFTING,7000.3015,"(47.624576885, -122.354751201)",Q3
2010248367,-122.303098808,47.618795464,064,SHOPLIFTING,7900.1000,"(47.618795464, -122.303098808)",G1
2010248398,-122.297836427,47.577937946,064,SHOPLIFTING,10000.1009,"(47.577937946, -122.297836427)",R2
2010248319,-122.314864127,47.661280781,064,SHOPLIFTING,5301.2008,"(47.661280781, -122.314864127)",U3
2010248540,-122.316845009,47.614683851,064,SHOPLIFTING,7500.4006,"(47.614683851, -122.316845009)",C2
2010248637,-122.344996835,47.725035552,064,SHOPLIFTING,401.1016,"(47.725035552, -122.344996835)",N1
2010248689,-122.295773525,47.719281822,064,SHOPLIFTING,100.3012,"(47.719281822, -122.295773525)",L1
2010248808,-122.295773525,47.719281822,064,SHOPLIFTING,100.3012,"(47.719281822, -122.295773525)",L1
2010248622,-122.327680653,47.596655376,064,SHOPLIFTING,9100.1014,"(47.596655376, -122.327680653)",K2
2010248413,-122.313148997,47.660532243,064,SHOPLIFTING,5301.3000,"(47.660532243, -122.313148997)",U2
2010248938,-122.320771373,47.613519515,064,SHOPLIFTING,8400.1017,"(47.613519515, -122.320771373)",E2
2010249139,-122.387185531,47.559081211,064,SHOPLIFTING,10500.5017,"(47.559081211, -122.387185531)",W2
2010249259,-122.299158732,47.579672245,064,SHOPLIFTING,10000.1000,"(47.579672245, -122.299158732)",O1
2010249319,-122.299158732,47.579672245,064,SHOPLIFTING,10000.1000,"(47.579672245, -122.299158732)",O1
2016230177,-122.33844,47.618244,064,SHOPLIFTING,7300.3020,"(47.618244, -122.33844)",D2
2010243139,-122.344834273,47.713547979,064,SHOPLIFTING,600.3005,"(47.713547979, -122.344834273)",N1
2010249515,-122.337338755,47.60925298,064,SHOPLIFTING,8100.2010,"(47.60925298, -122.337338755)",K1
2010249843,-122.36934938,47.521036639,064,SHOPLIFTING,11400.3007,"(47.521036639, -122.36934938)",F2
2010249805,-122.376700236,47.692787687,064,SHOPLIFTING,1600.3006,"(47.692787687, -122.376700236)",B1
2010250012,-122.344996835,47.725035552,064,SHOPLIFTING,401.1016,"(47.725035552, -122.344996835)",N1
2010250041,-122.282344886,47.537044021,064,SHOPLIFTING,11000.1011,"(47.537044021, -122.282344886)",S1
2010250159,-122.340128233,47.610623458,064,SHOPLIFTING,8100.1000,"(47.610623458, -122.340128233)",M3
2010249996,-122.344520045,47.690199289,064,SHOPLIFTING,2700.6008,"(47.690199289, -122.344520045)",J1
2010249960,-122.324615153,47.708602801,064,SHOPLIFTING,1200.4005,"(47.708602801, -122.324615153)",N3
2010249858,-122.340128233,47.610623458,064,SHOPLIFTING,8100.1000,"(47.610623458, -122.340128233)",M3
2010250236,-122.303098808,47.618795464,064,SHOPLIFTING,7900.1000,"(47.618795464, -122.303098808)",G1
2010250792,-122.384742591,47.669818636,064,SHOPLIFTING,4700.5006,"(47.669818636, -122.384742591)",B2
2010251161,-122.313148997,47.660532243,064,SHOPLIFTING,5301.3001,"(47.660532243, -122.313148997)",U2
2010251080,-122.406598666,47.580670502,064,SHOPLIFTING,9701.1003,"(47.580670502, -122.406598666)",W1
2010251296,-122.313148997,47.660532243,064,SHOPLIFTING,5301.3000,"(47.660532243, -122.313148997)",U2
2010251119,-122.327680653,47.596655376,064,SHOPLIFTING,9100.1014,"(47.596655376, -122.327680653)",K2
2010250985,-122.303798071,47.643430289,064,SHOPLIFTING,6200.5007,"(47.643430289, -122.303798071)",C3
2010251040,-122.317413612,47.664027544,064,SHOPLIFTING,5200.5000,"(47.664027544, -122.317413612)",U2
2010251159,-122.327680653,47.596655376,064,SHOPLIFTING,9100.1014,"(47.596655376, -122.327680653)",K2
201628222,-122.33815,47.610973,064,SHOPLIFTING,8100.2002,"(47.610973, -122.33815)",M2
2010251345,-122.386583566,47.580252743,064,SHOPLIFTING,9800.8002,"(47.580252743, -122.386583566)",W1
2010251292,-122.324615153,47.708602801,064,SHOPLIFTING,1200.4005,"(47.708602801, -122.324615153)",N3
2010251255,-122.313148997,47.660532243,064,SHOPLIFTING,5301.3000,"(47.660532243, -122.313148997)",U2
2010251175,-122.303098808,47.618795464,064,SHOPLIFTING,7900.1000,"(47.618795464, -122.303098808)",G1
2010251396,-122.335928554,47.611904236,064,SHOPLIFTING,8200.1003,"(47.611904236, -122.335928554)",M2
2010251515,-122.355330171,47.69331765,064,SHOPLIFTING,1700.2011,"(47.69331765, -122.355330171)",N2
2010251382,-122.355330171,47.69331765,064,SHOPLIFTING,1700.2011,"(47.69331765, -122.355330171)",N2
2010251335,-122.355330171,47.69331765,064,SHOPLIFTING,1700.2011,"(47.69331765, -122.355330171)",N2
2010251410,-122.303098808,47.618795464,064,SHOPLIFTING,7900.1000,"(47.618795464, -122.303098808)",G1
2010251111,-122.355330171,47.69331765,064,SHOPLIFTING,1700.2011,"(47.69331765, -122.355330171)",N2
2010251141,-122.384742591,47.669818636,064,SHOPLIFTING,4700.5006,"(47.669818636, -122.384742591)",B2
2010251465,-122.324615153,47.708602801,064,SHOPLIFTING,1200.4005,"(47.708602801, -122.324615153)",N3
2010251567,-122.355330171,47.69331765,064,SHOPLIFTING,1700.2011,"(47.69331765, -122.355330171)",N2
2010001751,-122.302063748,47.612941383,064,SHOPLIFTING,8800.5003,"(47.612941383, -122.302063748)",G3
2010251485,-122.299158732,47.579672245,064,SHOPLIFTING,10000.1000,"(47.579672245, -122.299158732)",O1
