easting,northing
3072544.69302672,-12275317.0746833
3073912.91317716,-12276758.5477119
3076799.64316072,-12279204.2161581
3080434.68139398,-12282412.3023235
3078826.75776405,-12280687.7895745
3078197.82758082,-12281215.3852932
3076354.69163560,-12279917.8323775
3074262.32372738,-12277957.2998517
3071621.71411403,-12275659.2137279
3080801.49687336,-12280503.1755017
3076172.71724897,-12274209.9074019
3075649.99266016,-12274197.3389249
3080106.07202180,-12273379.1143663
3080371.98012062,-12270020.6720794
3080238.07675290,-12269133.9022397
3080800.52594258,-12267299.2658531
3081368.81249442,-12268868.0858083
3087844.50387653,-12273292.4035184
3088087.34353229,-12271268.5747422
3087460.77327334,-12271548.5143638
3090867.43694121,-12272312.9201633
3089987.91615184,-12272084.1789704
3077439.41981885,-12262047.9683548
3082791.16334349,-12269016.3694482
3085675.54316244,-12271378.4685134
3089667.20243395,-12274775.7193513
3088642.08138392,-12274810.8990267
3078636.47133171,-12266782.1350036
3079877.71291607,-12279769.9717801
3079958.98250151,-12273616.9632026
3076492.15157727,-12265110.9708183
3077370.82245034,-12266890.8944267
3085621.60463880,-12274291.4660586
3087804.31775056,-12275390.8719080
3089078.15180967,-12276376.2571339
3090421.85953888,-12277525.6234044
3087570.16795649,-12276737.2300627
3079955.28635504,-12267724.4177367
3087370.49111028,-12272778.7839813
3079632.33146003,-12266222.0689618
3077701.92033476,-12268100.4348479
3079925.63551573,-12270655.6417020
3082431.45921774,-12271710.4410724
3081881.04435293,-12273209.7015401
3080677.17151160,-12272103.0039923
3079437.53428878,-12271127.9632313
3076955.62518140,-12269437.2402639
3077937.73244732,-12270730.2178980
3078995.28555220,-12271431.9702598
3077315.21069070,-12262499.0261805
3080044.49115081,-12265007.0215466
3090255.84901672,-12273590.2856177
3088772.82782436,-12272604.3536309
3085862.13770031,-12270113.8820254
3083846.92982134,-12268652.1437913
3077398.67658513,-12264457.8651096
3078715.99500904,-12265608.0005001
3079822.99956376,-12272173.7672794
3080717.36212634,-12272699.6578387
3080276.08448994,-12273063.5469020
3080743.56384253,-12273286.9321004
3081190.34506814,-12273511.5322347
3082103.42971845,-12273839.7240887
3082431.11806314,-12274619.7332819
3083319.73474499,-12275562.2947924
3078637.02462510,-12271868.9765169
3076030.82590973,-12269826.9039717
3077427.44791740,-12271330.0068086
3078322.10017407,-12272256.6573692
3079379.87705093,-12272783.9699667
3080951.17276500,-12274139.1144698
3081918.10353501,-12274844.7620571
3083201.37927757,-12276094.5459754
3082905.12619211,-12276354.5202698
3083653.79842711,-12277455.4510436
3082551.40587737,-12276739.9475240
3081522.04814193,-12275587.2792663
3080308.81548084,-12274455.4369513
3078950.40121052,-12273513.3545650
3077777.20450726,-12272397.3330250
3074750.76439256,-12270597.4653988
3076989.18479524,-12272680.2307447
3078826.19572100,-12274590.4415051
3081805.68599129,-12276802.5998619
3084587.58449957,-12279921.5146180
3087282.40232963,-12282290.6274010
3087349.29641491,-12280852.7281525
3080230.85491609,-12276002.6079817
3076385.33761566,-12273471.5898403
3077242.19518631,-12274768.0763023
3078344.03136049,-12275461.3378897
3079245.78120552,-12276073.6027279
3080089.48715468,-12276928.8290794
3081227.65599704,-12277503.1158055
3081897.94744473,-12278333.7541666
3083136.17363557,-12279739.4808646
3078789.48320235,-12277798.5310568
3077914.56447094,-12275889.6595256
3076762.89484967,-12275142.4628213
3074032.19729642,-12273006.8528809
3071640.67816477,-12270947.8771617
3070441.45754154,-12271185.9365420
3073481.95023509,-12273356.5975742
3074778.41095892,-12274365.1288732
3083200.28743960,-12278362.1259890
3084923.70189523,-12278527.2656001
3077688.55829133,-12276442.1604469
3080620.93042589,-12278331.1161343
3081508.31574508,-12279150.4076411
3082911.51755402,-12280404.3957443
3085443.12995945,-12282321.1293152
3084355.58828871,-12282528.8278137
3082263.97929170,-12280673.8005291
3080947.04769427,-12279647.4688841
3079891.65147835,-12278828.4111667
3077971.63218306,-12277481.3883035
3076223.93113377,-12275726.2540975
3075257.95832277,-12275117.6618957
3073723.15197173,-12274158.4696394
3071693.28963103,-12273053.1076755
3074371.43078667,-12275397.2905390
3075626.66596631,-12276371.6373001
3077092.11563396,-12277614.7832012
3078743.61947164,-12278690.2819533
3082206.91790714,-12281933.6967109
3083928.76831625,-12282774.2410569
3080674.32083937,-12281366.9905539
3078424.94526379,-12279139.5837274
3076323.60637328,-12277912.1219573
3074773.82188114,-12276656.0804544
3073724.05973832,-12275826.4514860
3071651.68465209,-12274209.5988537
